n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,hungarian_90,mmcs
2,0,0,0,128000000,0.0,0.7079522013664246
2,1,0,0,128000000,0.0,0.7079606056213379
2,2,0,0,128000000,0.0,0.7472760081291199
2,3,0,0,128000000,0.0,0.7483716011047363
2,4,0,0,128000000,0.0,0.7483859062194824
4,0,0,0,128000000,0.0,0.7071046233177185
4,1,0,0,128000000,1.0,0.9999948143959045
4,2,0,0,128000000,0.5,0.8540239334106445
4,3,0,0,128000000,0.0,0.7071050405502319
4,4,0,0,128000000,0.0,0.5020396709442139
8,0,0,0,128000000,1.0,0.9999943971633911
8,1,0,0,128000000,1.0,0.9999944567680359
8,2,0,0,128000000,1.0,0.9999943971633911
8,3,0,0,128000000,0.8125,0.9581434726715088
8,4,0,0,128000000,1.0,0.9999942779541016
16,0,0,0,128000000,0.9375,0.980181097984314
16,1,0,0,128000000,1.0,0.9999905824661255
16,2,0,0,128000000,1.0,0.9999905824661255
16,3,0,0,128000000,1.0,0.9999905824661255
16,4,0,0,128000000,0.9375,0.9802001714706421
32,0,0,0,128000000,0.96875,0.9901893138885498
32,1,0,0,128000000,0.96875,0.9701679944992065
32,2,0,0,128000000,1.0,0.9999817609786987
32,3,0,0,128000000,0.984375,0.983616292476654
32,4,0,0,128000000,0.9375,0.9791632294654846
64,0,0,0,128000000,0.953125,0.9653351306915283
64,1,0,0,128000000,0.9375,0.9534144997596741
64,2,0,0,128000000,0.953125,0.9656843543052673
64,3,0,0,128000000,0.9453125,0.9703584909439087
64,4,0,0,128000000,0.9609375,0.9732632040977478
128,0,0,0,128000000,0.92578125,0.9303234815597534
128,1,0,0,128000000,0.9375,0.9485814571380615
128,2,0,0,128000000,0.9375,0.9450405836105347
128,3,0,0,128000000,0.94921875,0.94945228099823
128,4,0,0,128000000,0.921875,0.9298549890518188
256,0,0,0,128000000,0.890625,0.8972334861755371
256,1,0,0,128000000,0.896484375,0.9001337885856628
256,2,0,0,128000000,0.884765625,0.890127420425415
256,3,0,0,128000000,0.892578125,0.8960353136062622
256,4,0,0,128000000,0.8828125,0.889721155166626
