n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,learning_rate,l1_coefficient,checkpoint_source,hungarian_90,mmcs
2,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.0,0.7495675086975098
2,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.0,0.7071499824523926
2,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.0,0.7444045543670654
2,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.0,0.7499307990074158
2,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.0,0.7071555256843567
4,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.25,0.7984744310379028
4,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.0,0.7071065902709961
4,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.5,0.8536182641983032
4,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.0,0.7697373628616333
4,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.0,0.5007664561271667
8,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,1.0,0.9999252557754517
8,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.75,0.9267995357513428
8,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.5,0.8536481857299805
8,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.875,0.9540162086486816
8,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.5,0.8536792993545532
16,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,1.0,0.9999991655349731
16,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,1.0,0.9999991655349731
16,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.9375,0.9793329238891602
16,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.9375,0.9793486595153809
16,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.9375,0.9793318510055542
32,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9705988764762878
32,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.875,0.9495249390602112
32,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9677467942237854
32,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9705911874771118
32,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.875,0.9608343839645386
64,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.953125,0.9849392175674438
64,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.921875,0.9754785299301147
64,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.890625,0.9660291075706482
64,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9709228277206421
64,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9654766917228699
128,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9715943336486816
128,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.8984375,0.9691512584686279
128,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.87890625,0.9585946798324585
128,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.87890625,0.9613022804260254
128,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.8671875,0.9569141864776611
256,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.900390625,0.9689890146255493
256,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.904296875,0.9701620936393738
256,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.900390625,0.9689568877220154
256,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.908203125,0.9713131189346313
256,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.91015625,0.9728498458862305
