experiment,run_label,swept_hyperparameter,swept_value,l1_coefficient,learning_rate,n_per_set,activation_dim,d_sae,training_samples,train_batch_size,optimizer_steps,dictionary_seed,data_seed,sae_seed,hungarian_90,mmcs
6A,full_125m,l1_coefficient,0.003,0.003,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.0,0.3199284076690674
6A,full_125m,l1_coefficient,0.005,0.005,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.001953125,0.42329663038253784
6A,full_125m,l1_coefficient,0.0075,0.0075,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.03515625,0.6018193960189819
6A,full_125m,l1_coefficient,0.01,0.01,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.390625,0.7964518666267395
6A,full_125m,l1_coefficient,0.015,0.015,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.578125,0.8655133247375488
6A,full_125m,l1_coefficient,0.02,0.02,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.69140625,0.9038034677505493
6A,full_125m,l1_coefficient,0.03,0.03,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.716796875,0.8960992097854614
6A,full_125m,l1_coefficient,0.05,0.05,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.865234375,0.9584184885025024
6A,full_125m,l1_coefficient,0.075,0.075,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.849609375,0.9528382420539856
6A,full_125m,l1_coefficient,0.1,0.1,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.888671875,0.9654927849769592
