experiment,run_label,swept_hyperparameter,swept_value,l1_coefficient,learning_rate,n_per_set,activation_dim,d_sae,training_samples,train_batch_size,optimizer_steps,dictionary_seed,data_seed,sae_seed,hungarian_90,mmcs,selection_score,pareto_optimal
6A,full_125m,l1_coefficient,0.003,0.003,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.0,0.3199284076690674,0.1599642038345337,False
6A,full_125m,l1_coefficient,0.005,0.005,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.001953125,0.4232966303825378,0.2126248776912689,False
6A,full_125m,l1_coefficient,0.0075,0.0075,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.03515625,0.6018193960189819,0.31848782300949097,False
6A,full_125m,l1_coefficient,0.01,0.01,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.390625,0.7964518666267395,0.5935384333133698,False
6A,full_125m,l1_coefficient,0.015,0.015,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.578125,0.8655133247375488,0.7218191623687744,False
6A,full_125m,l1_coefficient,0.02,0.02,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.69140625,0.9038034677505492,0.7976048588752747,False
6A,full_125m,l1_coefficient,0.03,0.03,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.716796875,0.8960992097854614,0.8064480423927307,False
6A,full_125m,l1_coefficient,0.05,0.05,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.865234375,0.9584184885025024,0.9118264317512512,False
6A,full_125m,l1_coefficient,0.075,0.075,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.849609375,0.9528382420539856,0.9012238085269928,False
6A,full_125m,l1_coefficient,0.1,0.1,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.888671875,0.9654927849769592,0.9270823299884796,True
