experiment,run_label,swept_hyperparameter,swept_value,l1_coefficient,learning_rate,n_per_set,activation_dim,d_sae,training_samples,train_batch_size,optimizer_steps,dictionary_seed,data_seed,sae_seed,hungarian_90,mmcs,selection_score,pareto_optimal
6B,full_125m,learning_rate,0.0001,0.1,0.0001,256,256,512,125000000,16384,7630,0,0,0,0.884765625,0.9654941558837891,0.9251298904418945,False
6B,full_125m,learning_rate,0.00015,0.1,0.00015,256,256,512,125000000,16384,7630,0,0,0,0.892578125,0.9666736125946045,0.9296258687973022,False
6B,full_125m,learning_rate,0.0002,0.1,0.0002,256,256,512,125000000,16384,7630,0,0,0,0.890625,0.9670325517654419,0.928828775882721,False
6B,full_125m,learning_rate,0.0003,0.1,0.0003,256,256,512,125000000,16384,7630,0,0,0,0.888671875,0.9654927849769592,0.9270823299884796,False
6B,full_125m,learning_rate,0.0004,0.1,0.0004,256,256,512,125000000,16384,7630,0,0,0,0.900390625,0.9689890146255493,0.9346898198127747,True
6B,full_125m,learning_rate,0.0005,0.1,0.0005,256,256,512,125000000,16384,7630,0,0,0,0.900390625,0.9689780473709106,0.9346843361854553,False
6B,full_125m,learning_rate,0.0006,0.1,0.0006,256,256,512,125000000,16384,7630,0,0,0,0.892578125,0.9666277170181274,0.9296029210090637,False
6B,full_125m,learning_rate,0.00075,0.1,0.00075,256,256,512,125000000,16384,7630,0,0,0,0.890625,0.9669737815856934,0.9287993907928467,False
6B,full_125m,learning_rate,0.001,0.1,0.001,256,256,512,125000000,16384,7630,0,0,0,0.8828125,0.9646017551422119,0.923707127571106,False
6B,full_125m,learning_rate,0.0015,0.1,0.0015,256,256,512,125000000,16384,7630,0,0,0,0.8984375,0.9692981243133545,0.9338678121566772,True
