experiment,n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,k,learning_rate,checkpoint_source,hungarian_90,mmcs
7A,256,0,0,0,125000000,16384,7630,2,0.0001,new_training_run,0.94140625,0.9369247555732727
7A,256,0,0,0,125000000,16384,7630,2,0.00015,new_training_run,0.966796875,0.9018292427062988
7A,256,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.98046875,0.9262423515319824
7A,256,0,0,0,125000000,16384,7630,2,0.0003,new_training_run,0.00390625,0.8410922288894653
7A,256,0,0,0,125000000,16384,7630,2,0.0004,new_training_run,0.015625,0.8781763911247253
7A,256,0,0,0,125000000,16384,7630,2,0.0005,new_training_run,0.005859375,0.8468353748321533
7A,256,0,0,0,125000000,16384,7630,2,0.0006,new_training_run,0.005859375,0.8625024557113647
7A,256,0,0,0,125000000,16384,7630,2,0.00075,new_training_run,0.005859375,0.8229043483734131
7A,256,0,0,0,125000000,16384,7630,2,0.001,new_training_run,0.00390625,0.821767270565033
7A,256,0,0,0,125000000,16384,7630,2,0.0015,new_training_run,0.0078125,0.853687047958374
