experiment,n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,k,learning_rate,checkpoint_source,hungarian_90,mmcs,assigned_cosine_min,assigned_cosine_p10,assigned_cosine_median,evaluation_samples,reconstruction_mse,explained_variance,mean_l0,std_l0,fraction_l0_0,fraction_l0_1,fraction_l0_2,fraction_l0_3,fraction_l0_ge4,evaluation_dead_latents,firing_frequency_p10,firing_frequency_median,decoder_max_offdiag_cosine,topk_threshold
8B,2,0,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.25,0.7846678495407104,0.6645519733428955,0.6744035482406616,0.697390615940094,16384,0.008102383464574814,0.9878536462783813,2.0,0.9727111458778381,0.08892822265625,0.206298828125,0.32061767578125,0.3841552734375,0.0,0,0.283111572265625,0.3841552734375,0.7895871996879578,0.04674755853597168
8B,2,1,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.25,0.8188063502311707,0.6121320128440857,0.685708224773407,0.8573859930038452,16384,0.0004997163778170943,0.9992508888244629,2.0,0.6903350353240967,0.0,0.23828125,0.5234375,0.23828125,0.0,0,0.28192138671875,0.45880126953125,0.3629343509674072,0.006753426928134137
8B,2,2,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.5,0.5847616791725159,0.15348675847053528,0.16666868329048157,0.19742649793624878,16384,0.009529713541269302,0.9857138991355896,2.0,0.8307005763053894,0.07830810546875,0.07672119140625,0.64501953125,0.16656494140625,0.03338623046875,0,0.08436279743909836,0.20330810546875,0.9791345000267029,0.02957351954280852
8B,2,3,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.5,0.7791922092437744,0.3039034605026245,0.4709016680717468,0.8605641722679138,16384,0.010247831232845783,0.9846373796463013,2.0,0.8833999633789062,0.09527587890625,0.017822265625,0.76507568359375,0.0352783203125,0.0865478515625,0,0.15436401963233948,0.23028564453125,0.9985461235046387,0.05081871546075532
8B,2,4,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.75,0.8233370780944824,0.37383219599723816,0.5514340400695801,0.9658383131027222,16384,0.0040657054632902145,0.9939050674438477,2.0,0.641481876373291,0.0,0.20574951171875,0.5885009765625,0.20574951171875,0.0,0,0.316650390625,0.44140625,0.8571357727050781,0.060330366580112364
8B,4,0,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.125,0.6962912082672119,0.42693647742271423,0.44981148838996887,0.6018907427787781,16384,0.011341228149831295,0.9829965829849243,2.0,1.0530369281768799,0.1318359375,0.1502685546875,0.3126220703125,0.3966064453125,0.0086669921875,1,0.15239867568016052,0.225830078125,0.9309393167495728,0.1904781391613976
8B,4,1,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.0,0.7394445538520813,0.2724921703338623,0.5001826286315918,0.7178912162780762,16384,0.002344743115827441,0.996484637260437,2.0,0.9057110548019409,0.0841064453125,0.14910888671875,0.45819091796875,0.29986572265625,0.00872802734375,0,0.15933836996555328,0.22967529296875,0.8380254507064819,0.12385150138060318
8B,4,2,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.625,0.8927364945411682,0.7249002456665039,0.7298020720481873,0.9729217886924744,16384,0.0008801345247775316,0.9986804723739624,2.0,0.8364849090576172,0.0731201171875,0.1304931640625,0.5196533203125,0.2767333984375,0.0,0,0.22300414741039276,0.23095703125,0.6699774265289307,0.09570710042602555
8B,4,3,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.0,0.7310687899589539,0.013885095715522766,0.33655068278312683,0.6837761402130127,16384,0.000647753244265914,0.9990288615226746,2.0,0.8017619848251343,0.03680419921875,0.2093505859375,0.4725341796875,0.2796630859375,0.00164794921875,0,0.06010742112994194,0.23406982421875,0.6167564988136292,0.07638554783231515
8B,4,4,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.0,0.7011922001838684,0.5668501257896423,0.5801452994346619,0.6137044429779053,16384,0.007029878906905651,0.9894604086875916,2.0,0.9554275274276733,0.12066650390625,0.09442138671875,0.44915771484375,0.33575439453125,0.0,0,0.22569580376148224,0.24322509765625,0.8849703669548035,0.16163173039343662
8B,8,0,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.0625,0.8002142310142517,0.0018677935004234314,0.5155557990074158,0.8195636868476868,16384,0.019916780292987823,0.9701407551765442,2.0,1.1694245338439941,0.15570068359375,0.0911865234375,0.47528076171875,0.1536865234375,0.1241455078125,0,0.0174560546875,0.10369873046875,0.6854429244995117,0.22247809695854798
8B,8,1,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.5625,0.7831978797912598,-0.02280804142355919,0.10623521357774734,0.9353708624839783,16384,0.03218315541744232,0.9517509937286377,2.0,1.2574970722198486,0.20135498046875,0.0830078125,0.31988525390625,0.31658935546875,0.07916259765625,2,9.1552734375e-05,0.12738037109375,0.7044172286987305,0.2611646888173979
8B,8,2,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.75,0.9246492385864258,0.7078162431716919,0.7097618579864502,0.994283139705658,16384,0.0019964808598160744,0.997006893157959,2.0,0.9299172759056091,0.11871337890625,0.0738525390625,0.498291015625,0.3072509765625,0.00189208984375,0,0.106964111328125,0.1107177734375,0.09378513693809509,0.12308986045703134
8B,8,3,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.0,0.8186332583427429,0.3310016989707947,0.6488011479377747,0.8323449492454529,16384,0.006882563699036837,0.9896816611289978,2.0,0.9354795813560486,0.10284423828125,0.0831298828125,0.56488037109375,0.21490478515625,0.03424072265625,0,0.108795166015625,0.113525390625,0.9605795741081238,0.13490173978444633
8B,8,4,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.6875,0.9046808481216431,0.18994084000587463,0.7071284055709839,0.9738207459449768,16384,0.016894986853003502,0.9746710062026978,2.0,1.2148374319076538,0.19964599609375,0.05145263671875,0.380126953125,0.2923583984375,0.076416015625,0,0.09039306640625,0.1036376953125,0.9985045790672302,0.2313702159445419
8B,16,0,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.875,0.9428654909133911,0.010183103382587433,0.9004465341567993,0.9852589964866638,16384,0.0028426803182810545,0.9957382082939148,2.0,0.8447621464729309,0.1085205078125,0.02313232421875,0.63629150390625,0.22393798828125,0.00811767578125,1,0.05216064304113388,0.0550537109375,0.9614119529724121,0.13188507060909307
8B,16,1,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,1.0,0.9783757925033569,0.9333062767982483,0.9780768156051636,0.979447066783905,16384,0.00041705643525347114,0.9993747472763062,2.0,0.7148330807685852,0.0703125,0.00506591796875,0.79254150390625,0.12762451171875,0.00445556640625,0,0.05656128004193306,0.05865478515625,0.36901476979255676,0.07349312469124486
8B,16,2,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.84375,0.9235854744911194,0.011787928640842438,0.783623993396759,0.9796916246414185,16384,0.0034936077427119017,0.9947623014450073,2.0,1.012253999710083,0.151123046875,0.0068359375,0.5850830078125,0.204833984375,0.0521240234375,3,0.04696045070886612,0.0518798828125,0.6028099060058594,0.17591585869777004
8B,16,3,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.9375,0.924967885017395,0.507459819316864,0.9446409940719604,0.950550377368927,16384,0.00042690662667155266,0.9993599653244019,2.0,0.6759505867958069,0.0733642578125,0.0057373046875,0.76983642578125,0.150390625,0.00067138671875,0,0.05554809421300888,0.05712890625,0.7176383137702942,0.08426967120599795
8B,16,4,0,0,125000000,16384,7630,2.0,0.000175,new_training_run,0.875,0.9248183369636536,0.0794738233089447,0.7369166612625122,0.9601327180862427,16384,0.0005666802171617746,0.9991503953933716,2.0,0.7222232818603516,0.083740234375,0.00775146484375,0.734619140625,0.17303466796875,0.0008544921875,2,0.05293579027056694,0.05755615234375,0.6760304570198059,0.0933516345541385
