experiment,n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,k,learning_rate,checkpoint_source,hungarian_90,mmcs,selection_score,distance_from_baseline
7A,256,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.98046875,0.9262423515319824,0.9533555507659912,9.999999999999996e-05
7A,256,0,0,0,125000000,16384,7630,2,0.0001,new_training_run,0.94140625,0.9369247555732727,0.9391655027866364,0.00019999999999999998
7A,256,0,0,0,125000000,16384,7630,2,0.00015,new_training_run,0.966796875,0.9018292427062988,0.9343130588531494,0.00015
7A,256,0,0,0,125000000,16384,7630,2,0.0004,new_training_run,0.015625,0.8781763911247253,0.44690069556236267,0.00010000000000000005
7A,256,0,0,0,125000000,16384,7630,2,0.0006,new_training_run,0.005859375,0.8625024557113647,0.4341809153556824,0.0003
7A,256,0,0,0,125000000,16384,7630,2,0.0015,new_training_run,0.0078125,0.853687047958374,0.430749773979187,0.0012000000000000001
7A,256,0,0,0,125000000,16384,7630,2,0.0005,new_training_run,0.005859375,0.8468353748321533,0.42634737491607666,0.00020000000000000004
7A,256,0,0,0,125000000,16384,7630,2,0.0003,new_training_run,0.00390625,0.8410922288894653,0.42249923944473267,0.0
7A,256,0,0,0,125000000,16384,7630,2,0.00075,new_training_run,0.005859375,0.8229043483734131,0.41438186168670654,0.00045000000000000004
7A,256,0,0,0,125000000,16384,7630,2,0.001,new_training_run,0.00390625,0.821767270565033,0.4128367602825165,0.0007000000000000001
