experiment,n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,k,learning_rate,checkpoint_source,hungarian_90,mmcs
7B,2,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.5,0.8103559017181396
7B,2,1,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.790835976600647
7B,2,2,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.25,0.8008216619491577
7B,2,3,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.7718503475189209
7B,2,4,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.75,0.847366452217102
7B,4,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.125,0.722663402557373
7B,4,1,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.7312239408493042
7B,4,2,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.125,0.7603673934936523
7B,4,3,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.7196938991546631
7B,4,4,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.7857906818389893
7B,8,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0625,0.6788139343261719
7B,8,1,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0625,0.6389894485473633
7B,8,2,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0625,0.6669020056724548
7B,8,3,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0625,0.7049334049224854
7B,8,4,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0625,0.8004195690155029
7B,16,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0625,0.789617657661438
7B,16,1,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0625,0.8003480434417725
7B,16,2,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.42635783553123474
7B,16,3,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.03125,0.6163157224655151
7B,16,4,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0625,0.7917052507400513
7B,32,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.015625,0.7824115753173828
7B,32,1,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.03125,0.8019337058067322
7B,32,2,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.03125,0.6504188776016235
7B,32,3,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.03125,0.811518669128418
7B,32,4,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.015625,0.7188602685928345
7B,64,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0234375,0.8580509424209595
7B,64,1,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.6829242706298828
7B,64,2,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.6397599577903748
7B,64,3,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0078125,0.8077799677848816
7B,64,4,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0,0.6554663181304932
7B,128,0,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.00390625,0.7899291515350342
7B,128,1,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0078125,0.8388881683349609
7B,128,2,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.00390625,0.8136631846427917
7B,128,3,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.00390625,0.8227537870407104
7B,128,4,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.0078125,0.7876714468002319
7B,256,0,0,0,125000000,16384,7630,2,0.0002,loaded_checkpoint,0.98046875,0.9262423515319824
7B,256,1,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.013671875,0.8943630456924438
7B,256,2,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.03515625,0.8820130825042725
7B,256,3,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.01171875,0.875855028629303
7B,256,4,0,0,125000000,16384,7630,2,0.0002,new_training_run,0.966796875,0.906313419342041
