experiment,n_per_set,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,k,learning_rate,checkpoint_source,hungarian_90,mmcs,assigned_cosine_min,assigned_cosine_p10,assigned_cosine_median,evaluation_samples,reconstruction_mse,explained_variance,mean_l0,std_l0,fraction_l0_0,fraction_l0_1,fraction_l0_2,fraction_l0_3,fraction_l0_ge4,evaluation_dead_latents,firing_frequency_p10,firing_frequency_median,decoder_max_offdiag_cosine,topk_threshold
8A,256,0,0,0,125000000,16384,7630,2.0,5e-05,new_training_run,0.849609375,0.928331196308136,0.015532776713371277,0.8049351572990417,0.9959208965301514,16384,0.025927580893039703,0.9611291885375977,2.0,0.8822246193885803,0.10382080078125,0.04852294921875,0.61761474609375,0.20672607421875,0.0233154296875,13,0.0028076171875,0.0035400390625,0.8195940256118774,0.11029293908739363
8A,256,1,0,0,125000000,16384,7630,2.0,5e-05,new_training_run,0.84765625,0.9366101026535034,0.006973683834075928,0.8062523603439331,0.9968633651733398,16384,0.020876633003354073,0.9687016010284424,2.0,0.8873981833457947,0.109130859375,0.03533935546875,0.63018798828125,0.199462890625,0.02587890625,15,0.00274658203125,0.0035400390625,0.7467418909072876,0.117303154359313
8A,256,2,0,0,125000000,16384,7630,2.0,5e-05,new_training_run,0.84765625,0.9212302565574646,0.03952930122613907,0.7493157982826233,0.9972466230392456,16384,0.022588666528463364,0.9661349058151245,2.0,0.897043764591217,0.10943603515625,0.0400390625,0.6220703125,0.20086669921875,0.027587890625,18,0.00274658203125,0.0035400390625,0.8585717082023621,0.11958807015578488
8A,256,0,0,0,125000000,16384,7630,2.0,7.5e-05,new_training_run,0.931640625,0.9611984491348267,0.018699636682868004,0.9654011130332947,0.9976030588150024,16384,0.0070017920807003975,0.9895028471946716,2.0,0.7513821721076965,0.0810546875,0.01678466796875,0.74114990234375,0.1463623046875,0.0146484375,12,0.00299072265625,0.003662109375,0.7789990901947021,0.08725243397465617
8A,256,1,0,0,125000000,16384,7630,2.0,7.5e-05,new_training_run,0.916015625,0.9533520936965942,0.02850278653204441,0.9589043855667114,0.9981256723403931,16384,0.008012630045413971,0.9879873991012573,2.0,0.7549479007720947,0.0814208984375,0.019775390625,0.73486328125,0.1470947265625,0.016845703125,14,0.0029296875,0.00360107421875,0.8453086614608765,0.08717937203130353
8A,256,2,0,0,125000000,16384,7630,2.0,7.5e-05,new_training_run,0.90625,0.9515011310577393,0.021830881014466286,0.9234930872917175,0.998681902885437,16384,0.006232502870261669,0.9906561970710754,2.0,0.8314350247383118,0.09918212890625,0.0107421875,0.71337890625,0.14862060546875,0.028076171875,18,0.0028076171875,0.0035400390625,0.6465493440628052,0.1065440323537682
8A,256,0,0,0,125000000,16384,7630,2.0,0.0001,new_training_run,0.94140625,0.9669276475906372,0.019469380378723145,0.9961217045783997,0.9989873766899109,16384,0.0028682213742285967,0.995699942111969,2.0,0.6886531710624695,0.070068359375,0.00811767578125,0.79132080078125,0.11358642578125,0.01690673828125,14,0.00299072265625,0.003662109375,0.8573712110519409,0.07511276832734523
8A,256,1,0,0,125000000,16384,7630,2.0,0.0001,new_training_run,0.927734375,0.9622761011123657,0.030189350247383118,0.9938392043113708,0.9990898370742798,16384,0.0034719828981906176,0.9947947859764099,2.0,0.7080556154251099,0.076171875,0.00909423828125,0.76519775390625,0.13848876953125,0.01104736328125,16,0.0029296875,0.003662109375,0.8088862895965576,0.08129499602310143
8A,256,2,0,0,125000000,16384,7630,2.0,0.0001,new_training_run,0.927734375,0.9569902420043945,0.03172505646944046,0.9923568964004517,0.9993224143981934,16384,0.003850311506539583,0.9942275881767273,2.0,0.7495115399360657,0.083740234375,0.00732421875,0.754150390625,0.13690185546875,0.01788330078125,15,0.00286865234375,0.00360107421875,0.8646413087844849,0.09000178895831915
8A,256,0,0,0,125000000,16384,7630,2.0,0.000125,new_training_run,0.9453125,0.9689692258834839,0.008550796657800674,0.9970802068710327,0.9998116493225098,16384,0.0006528613739646971,0.9990212321281433,2.0,0.6088739633560181,0.05963134765625,0.002197265625,0.82098388671875,0.1129150390625,0.0042724609375,11,0.00299072265625,0.00372314453125,0.9352956414222717,0.06485774421353198
