study,n_per_set,alpha,index_distribution,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,learning_rate,l1_coefficient,checkpoint_source,hungarian_90,mmcs,assigned_cosine_mean,top_pair_max_cosine
9B,256,0.0,uniform,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.900390625,0.9689890146255493,0.9356904029846191,0.7068928480148315
9B,256,0.0,uniform,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.904296875,0.9701620936393738,0.9384270906448364,0.7069979906082153
9B,256,0.0,uniform,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.900390625,0.9689568877220154,0.9364430904388428,0.7093538045883179
9B,256,0.0,uniform,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.908203125,0.9713131189346313,0.9404659271240234,0.706942081451416
9B,256,0.0,uniform,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.91015625,0.9728498458862305,0.9428045153617859,0.7070070505142212
9B,256,0.5,zipf,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.912109375,0.9705834984779358,0.9432385563850403,0.7093498706817627
9B,256,0.5,zipf,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.8984375,0.9690444469451904,0.9368769526481628,0.7094112634658813
9B,256,0.5,zipf,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.919921875,0.9727572202682495,0.9479723572731018,0.7097777128219604
9B,256,0.5,zipf,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.927734375,0.9733406901359558,0.9540165066719055,0.7089962363243103
9B,256,0.5,zipf,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.919921875,0.9744583368301392,0.9506528973579407,0.709343433380127
9B,256,1.0,zipf,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.9140625,0.9541530013084412,0.9331852197647095,0.7404241561889648
9B,256,1.0,zipf,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.89453125,0.9462931156158447,0.9183542728424072,0.755852222442627
9B,256,1.0,zipf,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.89453125,0.9471572041511536,0.9212774038314819,0.7485438585281372
9B,256,1.0,zipf,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.904296875,0.9425058364868164,0.9205225706100464,0.999871015548706
9B,256,1.0,zipf,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.92578125,0.9551621675491333,0.9383677244186401,0.7513746023178101
9B,256,1.5,zipf,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.88671875,0.9223533868789673,0.8961514830589294,0.8605072498321533
9B,256,1.5,zipf,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.88671875,0.9217341542243958,0.8976247310638428,0.9832932353019714
9B,256,1.5,zipf,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.873046875,0.9145143628120422,0.8850111365318298,0.9786084890365601
9B,256,1.5,zipf,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.85546875,0.9077692031860352,0.872979998588562,0.8611425161361694
9B,256,1.5,zipf,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.86328125,0.9098089933395386,0.8798577785491943,0.9775521159172058
