study,n_per_set,alpha,index_distribution,sae_seed,dictionary_seed,data_seed,training_samples,train_batch_size,optimizer_steps,learning_rate,l1_coefficient,checkpoint_source,hungarian_90,mmcs,assigned_cosine_mean,top_pair_max_cosine
9C,8,1.0,zipf,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.625,0.8872485160827637,0.8527615070343018,0.9999930262565613
9C,8,1.0,zipf,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.75,0.9255003333091736,0.9242027997970581,0.9999949932098389
9C,8,1.0,zipf,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.875,0.9486067295074463,0.9238823652267456,0.7331629991531372
9C,8,1.0,zipf,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,1.0,0.9836889505386353,0.9836889505386353,0.7937023043632507
9C,8,1.0,zipf,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.75,0.9252541065216064,0.9239805340766907,0.999997615814209
9C,32,1.0,zipf,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9655044078826904,0.9388095140457153,0.7562574148178101
9C,32,1.0,zipf,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.9375,0.9751842617988586,0.9548762440681458,0.756663978099823
9C,32,1.0,zipf,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.96875,0.9845423698425293,0.9736104011535645,0.7565838098526001
9C,32,1.0,zipf,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.859375,0.9556689262390137,0.9277969002723694,0.7451397180557251
9C,32,1.0,zipf,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9680739641189575,0.9412530660629272,0.7400010824203491
9C,128,1.0,zipf,0,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.9140625,0.9596179723739624,0.9361752271652222,0.739625096321106
9C,128,1.0,zipf,1,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9646191000938416,0.9382197260856628,0.7487169504165649
9C,128,1.0,zipf,2,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.90625,0.9635980129241943,0.9377046823501587,0.7637552618980408
9C,128,1.0,zipf,3,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.8984375,0.9639279842376709,0.9377404451370239,0.7435832619667053
9C,128,1.0,zipf,4,0,0,125000000,16384,7630,0.0004,0.1,new_training_run,0.8984375,0.959330677986145,0.9289989471435547,0.7480714917182922
9C,256,1.0,zipf,0,0,0,125000000,16384,7630,0.0004,0.1,loaded_checkpoint,0.9140625,0.9541530013084412,0.9331852197647095,0.7404241561889648
9C,256,1.0,zipf,1,0,0,125000000,16384,7630,0.0004,0.1,loaded_checkpoint,0.89453125,0.9462931156158447,0.9183542728424072,0.755852222442627
9C,256,1.0,zipf,2,0,0,125000000,16384,7630,0.0004,0.1,loaded_checkpoint,0.89453125,0.9471572041511536,0.9212774038314819,0.7485438585281372
9C,256,1.0,zipf,3,0,0,125000000,16384,7630,0.0004,0.1,loaded_checkpoint,0.904296875,0.9425058364868164,0.9205225706100464,0.999871015548706
9C,256,1.0,zipf,4,0,0,125000000,16384,7630,0.0004,0.1,loaded_checkpoint,0.92578125,0.9551621675491333,0.9383677244186401,0.7513746023178101
