n_per_set,rank_quantile,recovered_90,max_cosine,expected_exposure
8,0,0.4,0.8232695,34494084.0
8,1,1.0,0.9911957,13414366.0
8,2,0.95,0.9783006,8431888.0
8,3,0.85,0.9434732,6159658.0
32,0,0.9875,0.9922883,10463610.0
32,1,0.925,0.9757396,2552022.8
32,2,0.9125,0.9680155,1521612.2
32,3,0.8375,0.94313586,1087753.1
128,0,0.984375,0.9955579,2917921.5
128,1,0.9375,0.983041,492776.44
128,2,0.890625,0.9636189,289651.56
128,3,0.80625,0.90665734,205900.4
256,0,0.9984375,0.9981168,1512882.2
256,1,0.965625,0.9898025,219811.84
256,2,0.9015625,0.9658025,128893.2
256,3,0.7609375,0.84249544,91537.86
